CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Lung Cancer,Death,2017,San Diego County,NA,SAN DIEGO COUNTY,99,NA,NA,960,28.95,26.11,,,,,,,155,19.03,801,172.7,471,28.25,28.92,,,,,,,85,21.17,383,186.17,489,29.65,23.81,,,,,,,70,16.96,488,72.73,418,161.96,699,45.63,,,,,,,104,24.24,592,192.93,338,43.07,,,,,,,49,22.36,287,204.07,361,48.32,,,,,,,55,26.2,360,95.7,305,183.5,31,20.72,,,,,,,10,26.99,21,136.06,17,21.29,,,,,,,5,25.41,12,171.8,14,20.07,,,,,,,5,28.78,14,54.22,9,106.52,100,8.81,,,,,,,18,7.87,81,100.58,48,8.53,,,,,,,9,8.3,38,114.62,52,9.08,,,,,,,9,7.48,52,31,43,90.75,109,28.87,,,,,,,16,15.72,93,170.23,55,30.82,,,,,,,16,34.92,39,177.19,54,27.11,,,,,,,,,54,60.96,54,165.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13.15,,,,,,,,,10,223.36,7,13.12,,,,,,,,,,,7,13.19,,,,,,,,,7,72.26,6,243.8
Lung Cancer,Death,2017,Central Region,Region,CENTRAL,3,CENTRAL,NA,118,23.19,24.66,,,,,,,25,21.24,92,153.29,55,20.96,24.71,,,,,,,15,24.63,40,148.51,63,25.56,24.06,,,,,,,10,17.6,62,68.96,52,157.19,58,35.48,,,,,,,10,23.07,47,162.05,23,26.04,,,,,,,5,20.54,18,131.84,35,46.58,,,,,,,5,26.31,34,98.96,29,188.93,18,36.09,,,,,,,,,14,241.63,9,33.94,,,,,,,,,7,267.58,9,38.54,,,,,,,,,9,95.35,7,220.26,23,10.51,,,,,,,6,13.95,17,115.24,11,10,,,,,,,,,8,129.49,12,11.03,,,,,,,,,12,39.27,9,104.97,19,31.9,,,,,,,5,32.35,14,147.24,12,41.72,,,,,,,5,69.77,7,174.65,7,22.73,,,,,,,,,7,50.76,7,127.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Central San Diego,SRA,CENTRAL SAN DIEGO,1,CENTRAL,Supervisorial District 4,40,20.04,19.06,,,,,,,10,20.94,29,114.85,16,15.19,16.1,,,,,,,6,22,11,90.28,24,25.59,21.12,,,,,,,,,23,65.24,19,135.75,29,30.75,,,,,,,6,23.58,22,133.09,10,19.15,,,,,,,,,7,86.92,19,44.82,,,,,,,,,18,94.27,15,175.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.58,,,,,,,,,5,99.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Mid-City,SRA,MID-CITY,6,CENTRAL,Supervisorial District 4,35,20.39,21.25,,,,,,,11,26.6,24,121.15,19,22.63,26.48,,,,,,,6,31.62,13,145.07,15,18.17,16.78,,,,,,,,,15,50.05,11,101.86,21,39.64,,,,,,,,,17,179.73,11,39.69,,,,,,,,,9,215.17,10,39.59,,,,,,,,,10,84.01,8,149.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,32.47,,,,,,,,,,,5,48.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Southeastern San Diego,SRA,SOUTHEASTERN SAN DIEGO,5,CENTRAL,Supervisorial District 4,48,32.84,38.15,,,,,,,5,15.17,43,258.27,22,29.8,37.83,,,,,,,,,18,253.92,26,35.85,37.38,,,,,,,,,26,99.33,25,261.59,12,59.76,,,,,,,,,11,264.25,,,,,,,,,,,,,8,83.44,,,,,,,,,8,170.21,8,363.72,11,60.83,,,,,,,,,10,426.19,6,59.01,,,,,,,,,5,505.58,6,62.73,,,,,,,,,6,146.86,5,366.85,13,16.55,,,,,,,,,11,195.22,6,14.6,,,,,,,,,5,202.51,7,18.44,,,,,,,,,7,63.93,6,190.07,11,46.64,,,,,,,,,10,256.57,6,53.45,,,,,,,,,5,308.9,5,40.51,,,,,,,,,5,86.57,5,219.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,East Region,Region,EAST,5,EAST,NA,194,40.16,32.67,,,,,,,36,28.73,158,213.24,99,41.52,37.97,,,,,,,18,29.6,81,247.34,95,38.84,28.88,,,,,,,18,27.91,95,89.76,77,186.23,161,60.6,,,,,,,25,31.64,136,244.81,86,64.95,,,,,,,12,30.6,74,294.73,75,56.28,,,,,,,13,32.66,75,106.76,62,203.64,6,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.78,,,,,,,,,7,65.54,,,,,,,,,,,,,8,10.67,,,,,,,,,8,36.61,5,80.19,12,47.58,,,,,,,,,8,188.59,5,44.57,,,,,,,,,,,7,49.98,,,,,,,,,7,101.58,7,265.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Alpine,SRA,ALPINE,38,EAST,Supervisorial District 2,8,49.84,35.68,,,,,,,,,7,253.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,46.91,,,,,,,,,5,222.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,El Cajon,SRA,EL CAJON,34,EAST,Supervisorial District 2,46,35.39,28.69,,,,,,,8,25.25,37,187.6,25,39.35,36.33,,,,,,,5,29.89,20,231.54,21,31.56,23.42,,,,,,,,,21,73.04,17,153.25,41,55.81,,,,,,,7,34.55,33,217.55,25,68.86,,,,,,,5,45.4,20,292.5,16,42.97,,,,,,,,,16,82.07,13,156.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Harbison Crest,SRA,HARBISON CREST,37,EAST,Supervisorial District 5,6,42.44,34.04,,,,,,,,,6,242.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,64.9,,,,,,,,,5,277.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2017,Harbison Crest-El Cajon,NA,HARBISON CREST-EL CAJON,99,EAST,Supervisorial District 2,52,36.14,29.27,,,,,,,9,24.6,43,193.44,28,39.52,36.27,,,,,,,5,29.75,23,232.88,24,32.86,24.43,,,,,,,,,24,75.99,20,162.6,47,56.8,,,,,,,8,33.57,38,223.98,28,68.73,,,,,,,5,45,23,292.79,19,45.06,,,,,,,,,19,86.01,16,167.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
