CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Lung Cancer,Death,2010,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,1073,34.66531495,36.53986829,572,36.81584162,501,32.4979859,823,54.86494756,53,36.15279673,102,10.28902061,83,24.30012706,10,8.638861053,,,,,13,1.458241025,218,28.66949855,842,239.5959309
Lung Cancer,Death,2010,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,132,27.24919388,35.36462663,75,30.27917398,57,24.07877562,63,43.85964912,33,58.22364939,16,7.829205874,17,26.61281485,,,,,,,,,36,33.73439784,96,221.8063353
Lung Cancer,Death,2010,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,41,24.76279059,29.59935365,25,27.61820592,16,21.31883652,29,35.24079182,5,43.54642048,,,,,,,,,,,,,13,34.25740487,28,180.156994
Lung Cancer,Death,2010,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,44,26.98691135,40.16035739,23,28.32268154,21,25.66139183,26,55.97416577,7,36.23563516,,,6,25.47229887,,,,,,,,,11,33.57036042,33,258.1553626
Lung Cancer,Death,2010,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,47,30.16591252,37.20846092,27,35.54128054,20,25.0510415,8,53.69487885,21,81.15001159,8,10.22024631,10,31.42183818,,,,,,,,,12,33.33240743,35,234.0197914
Lung Cancer,Death,2010,East Region,99,99,REGION EAST,99,,99,,99,East Region,208,44.91392936,44.70912432,115,50.42775895,93,39.56453486,177,63.38179474,10,37.62510347,12,10.38026366,8,38.6959466,,,,,,,,,47,36.87865354,157,280.6076854
Lung Cancer,Death,2010,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,40,32.12180589,33.46339602,24,39.39204937,16,25.1572327,34,46.15802335,,,,,,,,,,,,,,,8,25.23738919,32,218.1768596
Lung Cancer,Death,2010,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,79,56.76469954,56.32688396,44,64.48209156,35,49.34094594,70,82.07004092,,,5,14.18600692,,,,,,,,,,,18,48.73426289,59,344.847741
Lung Cancer,Death,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,13,68.57263424,77.83199542,10,91.75153684,,,10,95.38344143,,,,,,,,,,,,,,,5,83.48639172,8,403.02267
Lung Cancer,Death,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,28,47.38213693,41.49930503,17,60.32005109,11,35.58603733,26,70.18869962,,,,,,,,,,,,,,,,,25,290.866783
Lung Cancer,Death,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,23,41.05676544,47.46119691,12,43.31504476,11,38.84729482,22,53.85952457,,,,,,,,,,,,,,,,,19,314.9867374
Lung Cancer,Death,2010,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,14,46.96253061,46.53393533,9,62.07324643,5,32.65412748,10,105.6300834,,,,,,,,,,,,,,,6,78.51347815,8,241.5458937
Lung Cancer,Death,2010,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,5,65.88483331,63.20299441,,,,,5,120.8021261,,,,,,,,,,,,,,,,,,
Lung Cancer,Death,2010,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,27,52.78489179,55.05228033,11,44.41573124,16,60.64051544,21,55.29662691,,,,,,,,,,,,,,,7,47.45440987,18,314.850446
Lung Cancer,Death,2010,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,15,18.5182899,18.85102373,6,15.22108628,9,21.64398057,9,23.52449161,,,,,,,,,,,,,,,,,13,138.121547
Lung Cancer,Death,2010,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,203,33.61210963,33.77719165,101,33.05763484,102,34.17978567,176,48.2074234,,,,,20,18.46466325,,,,,,,,,32,22.38638908,169,235.1206211
Lung Cancer,Death,2010,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,30,39.80099502,29.82748023,16,41.19252356,14,38.32151753,28,46.02916276,,,,,,,,,,,,,,,5,30.39513678,25,201.6616923
