TEXT,FROM_USER
"Anti-GMO, anti-vax, flat-earthers, and climate-change deniers are the same class of willfully ignorant anti-science. https://t.co/k19Cgutg2o",kane
RT @MetaFouric: \OuO/ My picture turned into Vax fanart. WHOO! #Critters #CriticalRole @VoiceOfOBrien #criticalrolefanart https://t.co/w4byâ€¦,ChopChopJapchae
@Crof re yellow fever #vaccine might help thwart microcephaly from #Zika: How much yellow fever vax in Colombia? https://t.co/n4WNeFr9zz,PeterChristHall
RT @itsmepanda1: But no health studies of babies born to moms who've been #TDAP vaxxed? It sh/be illegal to vax preg women. #SB277  https:/â€¦,joegooding
I liked a @YouTube video https://t.co/SNbFnq7Xse #sb277 message for a safe rally,PandorasMouth
RT @DrRimaLaibow: HEALTH FREEDOM ALERT! CA Suit Challenges SB277 Vaxx Mandates https://t.co/RoBYlcvWN4 https://t.co/VES4aiFSbU,CAWalks
"RT @itsmepanda1: .@doritmi You helped author #SB277, now trying to impede #SB277referendum ? http://t.co/OkOkJBRg9s  @joegooding @DrPanMD @â€¦",joegooding
"RT @IamMonicaRae: .@doritmi @noUpside @joegooding @rblotnicky  Wow, blatant, in-your-face #fascism.  They're not even TRYING to hide it anyâ€¦",joegooding
RT @VeritasDolor: #vaxXed #sb277 #teachers #parents #rights .@lostsoulxc https://t.co/yHwoFFy0La,2ndfor1st
RT @MetaFouric: Proof I'm never happy with the finished picture. Vax 2! #critters #CriticalRole @VoiceOfOBrien #criticalrolefanart https://â€¦,rayQuanTezm
@kareennews It wasn't an ANTI VACCINE rally!Many of these parents vaccinate! It's about choice! Get it right. #SB277 https://t.co/kJ0pputZIG,CAWalks
RT @LotusOak: Remember the #Politicians that Pushed #SB277. Let's Make Sure They are Shown the Door Next #Election.  #Vaccines https://t.coâ€¦,infiniteluv4evr
RT @LotusOak: The Lawsuit Against #SB277 Has Been Filed https://t.co/ENgi9cnirI #Vaccines #freedom #California https://t.co/hidhls2YrX,infiniteluv4evr
